"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Sri Lanka","","254","7","91","156","12","3","4768","80.7137847","7.5554942","2020-04-19 12:34:39"
"Mayotte","","254","4","117","133","931","15","1800","45.1520755","-12.823048","2020-04-19 12:34:39"
"Venezuela","","227","9","117","101","8","3","299714","-66.1109318","8.0018709","2020-04-19 12:34:39"
"Mali","","216","13","41","162","11","6","0","-2.2900239","16.3700359","2020-04-19 12:34:39"
"Paraguay","","206","8","41","157","29","1","4950","-58.1693445","-23.3165935","2020-04-19 12:34:39"
"El Salvador","","201","7","44","150","31","1","11160","-88.9140683","13.8000382","2020-04-19 12:34:39"
"Faeroe Islands","","185","0","176","9","3786","0","6021","-7.0322972","62.0448724","2020-04-19 12:34:39"
"Jamaica","","173","5","25","143","58","2","1605","-77.1598454610168","18.1152958","2020-04-19 12:34:39"
"Martinique","","163","12","73","78","434","32","0","-60.9620777","14.6113732","2020-04-19 12:34:39"
"Guadeloupe","","148","8","73","67","370","20","0","-61.5650444","16.2490067","2020-04-19 12:34:39"
"Tanzania","","147","5","11","131","2","8","0","35.7878438","-6.5247123","2020-04-19 12:34:39"
"Rwanda","","144","0","69","75","11","0","6237","30.0644358","-1.9646631","2020-04-19 12:34:39"
"Congo","","143","6","11","126","26","1","0","15.6419155","-0.7264327","2020-04-19 12:34:39"
"Brunei","","137","1","113","23","313","2","11254","114.5653908","4.4137155","2020-04-19 12:34:39"
"Somalia","","135","7","2","126","8","4","0","49.083416","8.3676771","2020-04-19 12:34:39"
"Gibraltar","","132","0","111","21","3918","0","1859","-5.335277183483561","36.10674695","2020-04-19 12:34:39"
"Cambodia","","122","0","103","19","7","0","5768","104.869423","13.5066394","2020-04-19 12:34:39"
"Madagascar","","120","0","35","85","4","0","2357","46.4416422","-18.9249604","2020-04-19 12:34:39"
"Trinidad and Tobago","","114","8","21","85","81","6","1320","-60.9821067","10.8677845","2020-04-19 12:34:39"
"Gabon","","108","1","7","100","49","4","572","11.6899699","-0.8999695","2020-04-19 12:34:39"
"Myanmar","","107","5","5","97","2","9","4152","95.9999652","17.1750495","2020-04-19 12:34:39"
"Ethiopia","","105","3","16","86","9","3","6890","38.6521203","10.2116702","2020-04-19 12:34:39"
"Aruba","","96","2","44","50","899","19","1358","-69.9618475","12.5013629","2020-04-19 12:34:39"
"French Guiana","","96","0","64","32","321","0","0","-52.999998","4.0039882","2020-04-19 12:34:39"
"Monaco","","94","3","22","69","2395","76","0","7.4276832","43.7323492","2020-04-19 12:34:39"
"Togo","","84","5","49","30","10","6","4191","1.0199765","8.7800265","2020-04-19 12:34:39"
"Bermuda","","83","5","35","43","1333","80","552","-64.7603583","32.3018217","2020-04-19 12:34:39"
"Liechtenstein","","79","1","55","23","2072","26","900","9.5531527","47.1416307","2020-04-19 12:34:39"
"Equatorial Guinea","","79","0","4","75","56","0","854","10.5170357","1.613172","2020-04-19 12:34:39"
"Liberia","","76","7","7","62","15","1","0","-9.3658524","5.7499721","2020-04-19 12:34:39"
"Barbados","","75","5","17","53","261","17","1000","-59.5250305","13.1500331","2020-04-19 12:34:39"
"Sudan","","66","10","6","50","2","2","0","29.4917691","14.5844444","2020-04-19 12:34:39"
"Sint Maarten","","64","9","12","43","1493","210","163","4.9237307","50.8381331","2020-04-19 12:34:39"
"Guyana","","63","6","9","48","80","8","283","-58.6416891","4.8417097","2020-04-19 12:34:39"
"Cayman Islands","","61","1","7","53","928","15","702","-80.5667132","19.5417212","2020-04-19 12:34:39"
"Cabo Verde","","58","1","1","56","104","2","0","-24.0083947","16.0000552","2020-04-19 12:34:39"
"Zambia","","57","2","33","22","3","1","2191","27.5599164","-14.5186239","2020-04-19 12:34:39"
"Bahamas","","55","9","10","36","140","23","0","-78.0000547","24.7736546","2020-04-19 12:34:39"
"French Polynesia","","55","0","2","53","196","0","1302","-146.0490931059517","-16.03442485","2020-04-19 12:34:39"
"Uganda","","55","0","22","33","1","0","11101","32.2166578","1.5333554","2020-04-19 12:34:39"
"Libya","","49","1","11","37","7","1","707","18.1236723","26.8234472","2020-04-19 12:34:39"
"Guinea-Bissau","","46","0","0","46","23","0","1500","-14.9000214","12.100035","2020-04-19 12:34:39"
"Macao","","45","0","16","29","69","0","0","113.5514142","22.1757605","2020-04-19 12:34:39"
"Haiti","","44","3","0","41","4","3","498","-72.3570972","19.1399952","2020-04-19 12:34:39"
"Eritrea","","39","0","3","36","11","0","0","37.9999668","15.9500319","2020-04-19 12:34:39"
"Syria","","38","2","5","31","2","1","0","39.0494106","34.6401861","2020-04-19 12:34:39"
"Saint Martin","","37","2","19","16","957","52","0","6.7539988","48.5683066","2020-04-19 12:34:39"
"Benin","","35","1","18","16","3","8","0","2.2584408","9.5293472","2020-04-19 12:34:39"
"Maldives","","35","0","16","19","65","0","3714","73.3287853","4.7064352","2020-04-19 12:34:39"
"Mozambique","","35","0","4","31","1","0","952","34.9144977","-19.302233","2020-04-19 12:34:39"
"Chad","","33","0","8","25","2","0","0","19.0156172","15.6134137","2020-04-19 12:34:39"
"Mongolia","","32","0","7","25","10","0","1554","103.8499736","46.8250388","2020-04-19 12:34:39"
"Nepal","","31","0","3","28","1","0","27471","84.0917139","28.1083929","2020-04-19 12:34:39"
