"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Benin","","35","1","18","16","3","8","0","2.2584408","9.5293472","2020-04-15 13:44:32"
"Libya","","35","1","9","25","5","1","570","18.1236723","26.8234472","2020-04-15 13:44:32"
"Eritrea","","35","0","0","35","10","0","0","37.9999668","15.9500319","2020-04-15 13:44:32"
"Sudan","","32","5","4","23","7","1","0","29.4917691","14.5844444","2020-04-15 13:44:32"
"Saint Martin","","32","2","11","19","828","52","0","6.7539988","48.5683066","2020-04-15 13:44:32"
"Mongolia","","30","0","5","25","9","0","1000","103.8499736","46.8250388","2020-04-15 13:44:32"
"Syria","","29","2","5","22","2","1","0","39.0494106","34.6401861","2020-04-15 13:44:32"
"Mozambique","","28","0","2","26","9","0","762","34.9144977","-19.302233","2020-04-15 13:44:32"
"Antigua and Barbuda","","23","2","3","18","235","20","73","-61.9554608","17.2234721","2020-04-15 13:44:32"
"Chad","","23","0","2","21","1","0","0","19.0156172","15.6134137","2020-04-15 13:44:32"
"Maldives","","21","0","16","5","39","0","2899","73.3287853","4.7064352","2020-04-15 13:44:32"
"Angola","","19","2","5","12","6","6","0","17.5691241","-11.8775768","2020-04-15 13:44:32"
"Laos","","19","0","1","18","3","0","1235","103.378253","20.0171109","2020-04-15 13:44:32"
"Zimbabwe","","18","3","1","14","1","2","665","29.7468414","-18.4554963","2020-04-15 13:44:32"
"Belize","","18","2","0","16","45","5","567","-88.7600927","16.8259793","2020-04-15 13:44:32"
"New Caledonia","","18","0","1","17","63","0","2608","164.55660583077983","-20.454288599999998","2020-04-15 13:44:32"
"Malawi","","16","2","0","14","8","1","314","33.9301963","-13.2687204","2020-04-15 13:44:32"
"Nepal","","16","0","1","15","5","0","6299","84.0917139","28.1083929","2020-04-15 13:44:32"
"Dominica","","16","0","8","8","222","0","345","-70.3028026","19.0974031","2020-04-15 13:44:32"
"Fiji","","16","0","0","16","18","0","0","179.0122737","-18.1239696","2020-04-15 13:44:32"
"Namibia","","16","0","3","13","6","0","362","17.3231107","-23.2335499","2020-04-15 13:44:32"
"Saint Lucia","","15","0","11","4","82","0","319","-60.975036","13.8250489","2020-04-15 13:44:32"
"Eswatini","","15","0","8","7","13","0","714","31.3991317","-26.5624806","2020-04-15 13:44:32"
"Curaçao","","14","1","10","3","85","6","230","-68.9640875031406","12.1845","2020-04-15 13:44:32"
"Grenada","","14","0","0","14","124","0","92","-61.6904045","12.1360374","2020-04-15 13:44:32"
"Saint Kitts and Nevis","","14","0","0","14","263","0","234","-62.6725973","17.250512","2020-04-15 13:44:32"
"Botswana","","13","1","0","12","6","4","3115","24.5928742","-23.1681782","2020-04-15 13:44:32"
"St. Vincent Grenadines","","12","0","1","11","108","0","87","-61.2765569","12.90447","2020-04-15 13:44:32"
"Cabo Verde","","11","1","1","9","20","2","0","-24.0083947","16.0000552","2020-04-15 13:44:32"
"CAR","","11","0","4","7","2","0","0","-81.0927234","40.5250362","2020-04-15 13:44:32"
"Falkland Islands","","11","0","1","10","3161","0","137","-59.5500387","-51.9666424","2020-04-15 13:44:32"
"Greenland","","11","0","11","0","194","0","912","-42.8125967","77.6192349","2020-04-15 13:44:32"
"Montserrat","","11","0","1","10","2204","0","36","-62.1916844","16.7417041","2020-04-15 13:44:32"
